car name,price,engine_capacity,cylinder,horse_power,top_speed,seats,brand,brand_brand_Foton,brand_brand_abarth,brand_brand_acura,brand_brand_alfa-romeo,brand_brand_aston-martin,brand_brand_audi,brand_brand_baic,brand_brand_bentley,brand_brand_bestune,brand_brand_bmw,brand_brand_borgward,brand_brand_brilliance,brand_brand_bugatti,brand_brand_byd,brand_brand_cadillac,brand_brand_changan,brand_brand_chery,brand_brand_chevrolet,brand_brand_chrysler,brand_brand_citroen,brand_brand_dfm,brand_brand_dodge,brand_brand_dorcen,brand_brand_ds,brand_brand_ferrari,brand_brand_fiat,brand_brand_ford,brand_brand_gac,brand_brand_geely,brand_brand_genesis,brand_brand_gmc,brand_brand_great-wall,brand_brand_haval,brand_brand_honda,brand_brand_hongqi,brand_brand_hyundai,brand_brand_infiniti,brand_brand_isuzu,brand_brand_jac,brand_brand_jaguar,brand_brand_jeep,brand_brand_jetour,brand_brand_kia,brand_brand_kinglong,brand_brand_lada,brand_brand_lamborghini,brand_brand_land-rover,brand_brand_lexus,brand_brand_lincoln,brand_brand_lotus,brand_brand_mahindra,brand_brand_maserati,brand_brand_maxus,brand_brand_mazda,brand_brand_mclaren,brand_brand_mercedes-benz,brand_brand_mg,brand_brand_mini,brand_brand_mitsubishi,brand_brand_morgan,brand_brand_nissan,brand_brand_opel,brand_brand_peugeot,brand_brand_porsche,brand_brand_proton,brand_brand_ram,brand_brand_renault,brand_brand_rolls-royce,brand_brand_seat,brand_brand_skoda,brand_brand_soueast,brand_brand_soueast ,brand_brand_ssang-yong,brand_brand_subaru,brand_brand_suzuki,brand_brand_tata,brand_brand_tesla,brand_brand_toyota,brand_brand_volkswagen,brand_brand_volvo,brand_brand_zna,brand_brand_zotye,country,country_country_bahrain,country_country_egypt,country_country_ksa,country_country_kuwait,country_country_oman,country_country_qatar,country_country_uae
Fiat 500e 2021 La Prima,TBD,0.0,"N/A, Electric",Single,Automatic,150,fiat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ksa,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Peugeot Traveller 2021 L3 VIP,37486.666666666664,2.0,4,180,8 Seater,8.8,peugeot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ksa,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Suzuki Jimny 2021 1.5L Automatic,26342.666666666668,1.5,4,102,145,4 Seater,suzuki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ksa,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ford Bronco 2021 2.3T Big Bend,52800.0,2.3,4,420,4 Seater,7.5,ford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ksa,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Honda HR-V 2021 1.8 i-VTEC LX,Orangeburst Metallic,1.8,4,140,190,5 Seater,honda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ksa,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Honda HR-V 2021 1.8 i-VTEC EX,25422.666666666668,1.8,4,140,190,5 Seater,honda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ksa,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Peugeot Expert 2021 Van L3 A/T,22092.0,2.0,4,120,170,N A,peugeot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ksa,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Peugeot Expert 2021 Van L3 M/T,20412.0,2.0,4,120,170,N A,peugeot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ksa,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Renault Koleos 2021 2.5L LE (4WD),31173.333333333332,2.5,4,170,199,5 Seater,renault,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ksa,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ford Bronco 2021 2.7T Outer Banks,63466.666666666664,2.7,6,542,5 Seater,6.9,ford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ksa,0.0,0.0,1.0,0.0,0.0,0.0,0.0
